name,total,calls,avg,min,max
step,3948.595748,24.0,164.52482283333333,144.075883,207.35025
iteration,3948.62502,2.0,1974.31251,0.0005420000000000001,3948.624478
apply_displacement,14.158999999999999,24.0,0.5899583333333333,0.586588,0.592413
shift,3948.621141,2.0,1974.3105705,1826.572546,2122.048595
red_black,3948.616652,4.0,987.154163,904.331516,1137.186111
binary_function,292.417,22466.0,0.013015979702661799,0.006176999999999999,2.584924
[CUDA memset],0.019,26.0,0.0007307692307692308,0.000608,0.001024
block_cost,9696.477540999998,22464.0,0.43164518968126775,0.042006,42.845132
minimize_block,34021.920053,22464.0,1.5145085493678776,0.017984000000000003,42.149877999999994
upload_image_pair,6.260356,1.0,6.260356,6.260356,6.260356
total_energy,1.965,2.0,0.9825,0.980303,0.984399
[CUDA memcpy DtoH],566.981,89859.0,0.006309674044892554,0.000736,47.915137
execute,4021.85911,1.0,4021.85911,4021.85911,4021.85911
[CUDA memcpy HtoD],87.835,22467.0,0.003909511728312636,0.001248,11.816377
[CUDA memcpy DtoD],0.651,1.0,0.651,0.651359,0.651359
unary_function,2679.2850000000003,44932.0,0.05962977388053058,0.025537,19.120184
apply,0.585291,24.0,0.024387125,0.014137,0.035991999999999996
